measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,3,11.15,192,"[0.4428, 0.5121, 0.4936]","[None, None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.65,64,[0.198],[None],2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.5,64,[0.5996],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,4,15.57,256,"[0.5837, 0.5696, 0.5465, 0.5814]","[None, None, None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.28,128,"[0.2952, 0.4709]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,1,3.58,64,[0.5402],[None],2005
64,"(0.4, 0.3, 0.3)",64,4,0,2,7.28,128,"[0.2801, 0.6601]","[None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,5,20.05,320,"[0.3351, 0.6026, 0.5434, 0.5905, 0.6133]","[None, None, None, None, None]",2007
64,"(0.4, 0.3, 0.3)",64,4,0,1,4.06,64,[0.1906],[None],2008
64,"(0.4, 0.3, 0.3)",64,4,0,3,11.36,192,"[0.4339, 0.4194, 0.3286]","[None, None, None]",2009
