measure_size,weights,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.5, 0.2, 0.3)",2,0,1,10.74,64,[0.6067],[0.8456],2015
64,"(0.5, 0.2, 0.3)",2,0,2,20.47,128,"[0.7192, 0.6368]","[0.8675, 0.8632]",2016
64,"(0.5, 0.2, 0.3)",2,0,3,31.76,192,"[0.7414, 0.5748, 0.2706]","[0.8528, 0.8602, 0.8844]",2017
64,"(0.5, 0.2, 0.3)",2,0,3,31.31,192,"[0.6818, 0.691, 0.2985]","[0.8414, 0.8643, 0.872]",2018
64,"(0.5, 0.2, 0.3)",2,0,2,21.08,128,"[0.763, 0.5985]","[0.8528, 0.8397]",2019
