measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(0.4, 0.3, 0.3)",64,4,0,4,11.5,256,"[0.4752, 0.5277, 0.4753, 0.4203]","[None, None, None, None]",2000
64,"(0.4, 0.3, 0.3)",64,4,0,1,2.92,64,[0.3287],[None],2001
64,"(0.4, 0.3, 0.3)",64,4,0,1,2.82,64,[0.5621],[None],2002
64,"(0.4, 0.3, 0.3)",64,4,0,3,8.66,192,"[0.6679, 0.5504, 0.5686]","[None, None, None]",2003
64,"(0.4, 0.3, 0.3)",64,4,0,2,5.74,128,"[0.2576, 0.5633]","[None, None]",2004
64,"(0.4, 0.3, 0.3)",64,4,0,2,5.67,128,"[0.5822, 0.6229]","[None, None]",2005
64,"(0.4, 0.3, 0.3)",64,4,0,2,5.67,128,"[0.4707, 0.6689]","[None, None]",2006
64,"(0.4, 0.3, 0.3)",64,4,0,5,14.23,320,"[0.4425, 0.5653, 0.6111, 0.6127, 0.6146]","[None, None, None, None, None]",2007
