weights,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
"(0.3, 0.0, 0.7)",4,42.51,256,"[0.7134, 0.6951, 0.4022, 0.3625]","[0.8184, 0.8754, 0.8683, 0.8835]",2023
"(0.3, 0.0, 0.7)",2,20.08,128,"[0.7082, 0.6937]","[0.8558, 0.8805]",2024
"(0.3, 0.0, 0.7)",4,41.67,256,"[0.6896, 0.5774, 0.4759, 0.3107]","[0.8422, 0.8599, 0.8753, 0.8871]",2025
