measure_size,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
64,"(1.0, 0.0, 0.0)",64,2,0,2,6.87,128,"[0.7609, 0.4948]","[None, None]",2000
64,"(1.0, 0.0, 0.0)",64,2,0,1,3.33,64,[0.7088],[None],2001
64,"(1.0, 0.0, 0.0)",64,2,0,1,3.37,64,[0.7988],[None],2002
64,"(1.0, 0.0, 0.0)",64,2,0,6,23.28,384,"[0.7705, 0.6458, 0.1966, -0.0078, -0.0596, -0.0198]","[None, None, None, None, None, None]",2003
64,"(1.0, 0.0, 0.0)",64,2,0,1,3.34,64,[0.7366],[None],2004
64,"(1.0, 0.0, 0.0)",64,2,0,8,32.78,512,"[0.7421, 0.5198, 0.168, -0.1688, -0.0224, -0.311, -0.3377, -0.0418]","[None, None, None, None, None, None, None, None]",2005
64,"(1.0, 0.0, 0.0)",64,2,0,2,6.93,128,"[0.7234, 0.6813]","[None, None]",2006
64,"(1.0, 0.0, 0.0)",64,2,0,6,23.22,384,"[0.703, 0.7401, 0.0802, 0.0762, -0.1365, -0.2375]","[None, None, None, None, None, None]",2007
64,"(0.7, 0.0, 0.3)",64,2,0,2,6.91,128,"[0.7609, 0.5435]","[None, None]",2000
64,"(0.7, 0.0, 0.3)",64,2,0,1,3.46,64,[0.7088],[None],2001
64,"(0.7, 0.0, 0.3)",64,2,0,1,3.34,64,[0.7988],[None],2002
64,"(0.7, 0.0, 0.3)",64,2,0,3,10.64,192,"[0.7705, 0.6115, 0.4629]","[None, None, None]",2003
64,"(0.7, 0.0, 0.3)",64,2,0,2,6.9,128,"[0.7366, 0.5394]","[None, None]",2004
64,"(0.7, 0.0, 0.3)",64,2,0,2,6.96,128,"[0.7421, 0.5699]","[None, None]",2005
64,"(0.7, 0.0, 0.3)",64,2,0,2,6.91,128,"[0.7234, 0.6973]","[None, None]",2006
64,"(0.7, 0.0, 0.3)",64,2,0,4,14.6,256,"[0.703, 0.7391, 0.3944, 0.184]","[None, None, None, None]",2007
64,"(0.7, 0.3, 0.0)",64,2,0,2,6.93,128,"[0.7609, 0.4956]","[None, None]",2000
64,"(0.7, 0.3, 0.0)",64,2,0,1,3.36,64,[0.7088],[None],2001
64,"(0.7, 0.3, 0.0)",64,2,0,1,3.42,64,[0.7988],[None],2002
64,"(0.7, 0.3, 0.0)",64,2,0,5,18.98,320,"[0.7705, 0.5539, 0.2716, -0.0898, 0.2146]","[None, None, None, None, None]",2003
64,"(0.7, 0.3, 0.0)",64,2,0,2,6.92,128,"[0.7366, 0.4944]","[None, None]",2004
64,"(0.7, 0.3, 0.0)",64,2,0,7,27.8,448,"[0.7421, 0.6634, 0.3111, 0.2908, 0.2534, 0.1652, -0.096]","[None, None, None, None, None, None, None]",2005
64,"(0.7, 0.3, 0.0)",64,2,0,3,10.66,192,"[0.7234, 0.7564, 0.3431]","[None, None, None]",2006
64,"(0.7, 0.3, 0.0)",64,2,0,4,14.7,256,"[0.703, 0.7081, 0.366, 0.2741]","[None, None, None, None]",2007
